Yearnumber,Periodname,Provider Org Code,Provider Name,Commissioner Org Code,Commissioner Org Name,Nhs1 Population SUM,Nhs1 Number Calls Offered SUM,Nhs1 Calls Through 111 SUM,Nhs1 Calls Through Other SUM,Nhs1 Abandoned Calls SUM,Nhs1 Answered Calls SUM,Nhs1 Answered Through 111 SUM,Nhs1 Answered Through Other SUM,Nhs1 Answered 60sec SUM,Nhs1 Calls Person Triaged SUM,Nhs1 Cnt Caller Terminated SUM,Nhs1 Cnt Caller Referred SUM,Nhs1 Cnt Caller Given Info SUM,Nhs1 Cnt Other Reason SUM,Nhs1 Transferred To Ca SUM,Nhs1 Wtransferred To Ca SUM,Nhs1 Ave Wtransfer Time SUM,Nhs1 Person Offered Call Back SUM,Nhs1 Calls Back Within 10mins SUM,Nhs1 Ave Episode Length SUM,Nhs1 Amb Dispatches SUM,Nhs1 Recommend To Ae SUM,Nhs1 Recommend To Primcare SUM,Nhs1 Rec Contact Prim Com Care SUM,Nhs1 Rec Speak Prim Com Care SUM,Nhs1 Rec Dental Pharmacy SUM,Nhs1 Recommend To Other SUM,Nhs1 Not Recommend SUM,Nhs1 Given Health Information SUM,Nhs1 Recommended Home Care SUM,Nhs1 Recommended Non Clinical SUM,Nhs1 Time Call Handlers SUM,Nhs1 Time Clinical Staff SUM,Nhs1 Cost Call Handlers SUM,Nhs1 Cost Clinical Staff SUM,Ave_Wtransfer_Time_Minutes,Episode_Length_Minutes,Abandonment Rate,Total_Cost,Cost_Per_Answered_Call,A&E_Referral_Rate,PrimaryCare_Referral_Rate,Answered_60sec_Rate,Callback_10min_Compliance,Rank_Answered_60sec,Rank_Callback_Compliance,Combined_Rank,Calls_Offered_Per_1k,Calls_Answered_60sec_Per_1k,Ambulance_Dispatches_Per_1k
2015-16,Apr-15,111AB3,GREAT YARMOUTH AND WAVENEY NHS 111,06M,NHS GREAT YARMOUTH AND WAVENEY CCG,215100,5339,5183,156,16,5323,5169,154,5059,4803,4,1,9,506,1344,625,00:05:30,719,190,00:14:39,401,285,2918,1663,1052,203,380,819,66,258,495,23707.35,15388.45,7921.0,4826.0,5.5,14.65,0.0029968158831241805,12747.0,2.394702235581439,0.053541236145031,0.5481871125305279,95.04039075709187,26.425591098748264,244,447,345.5,24.821013482101346,23.519293351929335,1.8642491864249187
2015-16,Apr-15,111AB4,OXFORDSHIRE NHS 111,10Q,NHS OXFORDSHIRE CCG,658400,16535,16354,181,62,16278,16097,181,15650,13240,1609,0,20,1409,2234,1003,00:01:15,1231,1221,00:23:56,1034,1042,8969,6378,1832,759,997,1198,120,765,313,136636.5,42133.0,7921.0,4826.0,1.25,23.93,0.003749622013909888,12747.0,0.7830814596387763,0.06401277798255314,0.5509890649956997,96.14203219068682,99.1876523151909,169,1,85.0,25.113912515188336,23.76974483596598,1.5704738760631836
2015-16,Apr-15,111AB9,NORFOLK NHS 111,06W,NHS NORWICH CCG,783600,25298,21522,3776,317,23016,20494,2522,21621,18891,194,0,209,3722,4935,3445,00:01:20,1490,1035,00:11:17,1943,1279,12475,7408,3679,1388,461,2733,209,1386,1138,136636.5,42133.0,7921.0,4826.0,1.33,11.28,0.012530634832793106,12747.0,0.5538321167883211,0.05557003823427181,0.5420142509558568,93.93899895724714,69.46308724832215,308,45,176.5,32.28432873915263,27.59188361408882,2.4795814190913728
2015-16,Apr-15,111AC2,SUFFOLK NHS 111,06L,NHS IPSWICH AND EAST SUFFOLK CCG,626600,14407,14407,0,32,14375,14375,0,14082,12300,419,341,44,1271,2866,1094,00:00:35,1772,885,00:11:40,1352,1059,8256,5789,1726,741,399,1234,83,596,555,136636.5,42133.0,7921.0,4826.0,0.58,11.67,0.002221142500173527,12747.0,0.8867478260869566,0.0736695652173913,0.5743304347826087,97.96173913043478,49.943566591422126,30,142,86.0,22.992339610596872,22.473667411426746,2.1576763485477177
2015-16,Apr-15,111AC3,NORTH ESSEX NHS 111,07H,NHS WEST ESSEX CCG,1007700,22856,22579,277,87,22769,22493,276,21421,20458,21,3,51,2236,5673,2604,00:05:35,3069,913,00:14:45,1397,1286,12785,7703,4345,737,1194,3796,331,1232,2233,100846.85,39434.43333,7921.0,4826.0,5.58,14.75,0.0038064403220161008,12747.0,0.5598401335148667,0.05648030216522465,0.5615090693486758,94.07966972638236,29.749103942652326,304,403,353.5,22.681353577453606,21.257318646422544,1.386325295226754
2015-16,Apr-15,111AC4,SOUTH ESSEX NHS 111,99F,NHS CASTLE POINT AND ROCHFORD CCG,771500,17827,17430,397,48,17779,17386,393,17106,15975,227,12,21,1544,5007,2298,00:02:45,2645,658,00:14:34,1191,1199,10480,6513,3316,651,968,2137,237,1350,550,3050.9,1164.733333,7921.0,4826.0,2.75,14.57,0.0026925450159869862,12747.0,0.7169694583497385,0.06743911356094269,0.589459474661117,96.21463524382699,24.87712665406427,160,467,313.5,23.10693454309786,22.172391445236553,1.543745949449125
2015-16,Apr-15,111AC5,CAMBRIDGESHIRE & PETERBOROUGH NHS 111,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,871900,25937,16071,9866,78,19879,15052,4827,19341,15932,11,11,38,3887,4511,3898,00:00:38,613,456,00:09:00,1392,1106,11599,6630,4016,953,340,1495,256,919,320,367389.0,159607.0,7921.0,4826.0,0.63,9.0,0.0030072868874580715,12747.0,0.641229438100508,0.05563660143870416,0.5834800543286885,97.29362643996177,74.38825448613376,74,26,50.0,29.747677485950224,22.182589746530567,1.5965133616240395
2015-16,Apr-15,111AC6,NORTHAMPTONSHIRE NHS 111,03V,NHS CORBY CCG,702300,17461,17461,0,145,17028,17028,0,15845,15642,4,1,0,1381,3771,1376,00:00:13,2395,758,00:15:17,1320,1352,9821,7291,2108,422,340,2809,295,818,1696,101039.0,36219.0,7921.0,4826.0,0.22,15.28,0.008304220835003722,12747.0,0.7485905567300916,0.07939863753817242,0.5767559314070942,93.05261921540992,31.64926931106472,336,375,355.5,24.862594332906166,22.561583368930656,1.8795386586928664
2015-16,Apr-15,111AC7,MILTON KEYNES NHS 111,04F,NHS MILTON KEYNES CCG,268900,5313,5313,0,9,5304,5304,0,5187,4428,193,175,25,483,1096,447,00:00:55,649,272,00:12:49,415,462,2896,1989,520,387,80,575,57,324,194,136636.5,42133.0,7921.0,4826.0,0.92,12.82,0.0016939582156973462,12747.0,2.4032805429864252,0.08710407239819004,0.5460030165912518,97.79411764705883,41.910631741140215,40,239,139.5,19.75827445146895,19.289698772777985,1.5433246560059501
2015-16,Apr-15,111AC8,LEICESTERSHIRE & RUTLAND NHS 111,04C,NHS LEICESTER CITY CCG,1044200,20522,20522,0,263,19903,19903,0,18633,18282,9,0,0,1612,4423,1676,00:00:17,2747,866,00:14:33,1824,1496,10439,6696,2627,1116,630,3893,313,903,2677,111430.0,41362.0,7921.0,4826.0,0.28,14.55,0.012815515057011987,12747.0,0.6404562126312616,0.07516454805808169,0.5244937949052907,93.61905240416017,31.52530032763014,315,378,346.5,19.653323118176594,17.84428270446275,1.7467918023367173
2015-16,Apr-15,111AC9,WEST MIDLANDS NHS 111,05L,NHS SANDWELL AND WEST BIRMINGHAM CCG,4618700,84826,83244,1582,110,84126,82722,1404,83305,77483,0,0,0,6643,20423,7827,00:00:41,12596,8140,00:13:03,6437,4848,46823,33616,10296,2911,4085,15290,888,5302,9100,426355.8,318231.8167,7921.0,4826.0,0.68,13.05,0.001296772216065829,12747.0,0.15152271592611083,0.05762784394836317,0.5565817939757031,99.02408292323419,64.62369006033661,9,60,34.5,18.365773919068136,18.036460475891484,1.3936822049494446
2015-16,Apr-15,111AD1,WANDSWORTH NHS 111,08X,NHS WANDSWORTH CCG,317000,4323,4323,0,21,4302,4302,0,4203,3340,211,64,20,667,979,428,00:00:36,551,187,00:15:30,325,293,2084,1570,414,100,90,548,48,285,215,136636.5,42133.0,7921.0,4826.0,0.6,15.5,0.004857737682165163,12747.0,2.9630404463040447,0.06810785681078568,0.48442584844258485,97.69874476987448,33.938294010889294,47,343,195.0,13.637223974763408,13.258675078864353,1.025236593059937
2015-16,Apr-15,111AD2,SUTTON & MERTON NHS 111,08T,NHS SUTTON CCG,411800,7409,7409,0,12,7397,7397,0,7216,6016,302,66,20,993,1741,758,00:00:38,983,332,00:15:03,532,554,3935,3077,721,137,136,859,67,489,303,136636.5,42133.0,7921.0,4826.0,0.63,15.05,0.0016196517748684033,12747.0,1.7232661889955387,0.07489522779505205,0.5319724212518588,97.55306205218332,33.77416073245168,63,344,203.5,17.9917435648373,17.523069451189897,1.2918892666342885
2015-16,Apr-15,111AD3,KINGSTON & RICHMOND NHS 111,08J,NHS KINGSTON CCG,369000,4236,4236,0,15,4221,4221,0,4106,3535,180,47,10,449,1030,456,00:00:49,574,207,00:15:05,338,304,2304,1720,476,108,83,506,36,283,187,136636.5,42133.0,7921.0,4826.0,0.82,15.08,0.0035410764872521247,12747.0,3.0199004975124377,0.07202084814025113,0.5458422174840085,97.2755271262734,36.062717770034844,76,324,200.0,11.479674796747966,11.127371273712736,0.915989159891599
2015-16,Apr-15,111AD4,NORTH WEST LONDON NHS 111,07P,NHS BRENT CCG,1196300,8907,8907,0,26,8881,8881,0,8690,7450,389,134,25,883,2139,928,00:00:53,1211,418,00:15:26,756,699,4752,3649,937,166,188,1055,72,583,400,136636.5,42133.0,7921.0,4826.0,0.88,15.43,0.0029190524306725047,12747.0,1.4353113388131966,0.07870735277558834,0.5350748789550727,97.84934129039523,34.516928158546655,38,337,187.5,7.4454568252110676,7.264064197943659,0.6319485078993564
2015-16,Apr-15,111AD5,NORTH CENTRAL LONDON NHS 111,08C,NHS HAMMERSMITH AND FULHAM CCG,1441000,24529,24529,0,80,23456,23456,0,22682,18838,1562,30,80,0,3745,2101,00:02:02,1644,755,00:12:23,2159,1744,11442,8436,2253,753,493,3000,330,1033,1637,136636.5,42133.0,7921.0,4826.0,2.03,12.38,0.0032614456357780586,12747.0,0.5434430422919508,0.07435197817189632,0.4878069577080491,96.70020463847203,45.92457420924575,122,195,158.5,17.022206800832755,15.740458015267174,1.498265093684941
2015-16,Apr-15,111AD6,OUTER NORTH EAST LONDON NHS 111,08N,NHS REDBRIDGE CCG,1021900,21027,18634,2393,472,20565,18419,2146,19815,17693,1387,1,100,0,4199,1568,00:00:28,2656,1522,00:12:36,1721,1637,10712,8428,2067,217,793,2830,201,1261,1368,136636.5,42133.0,7921.0,4826.0,0.47,12.6,0.022447329623816997,12747.0,0.6198395331874544,0.07960126428397764,0.5208849987843424,96.35302698760029,57.30421686746988,148,88,118.0,20.57637733633428,19.39035130639006,1.684117819747529
2015-16,Apr-15,111AD7,SOUTH EAST LONDON NHS 111,07N,NHS BEXLEY CCG,1755300,25866,25866,0,91,25648,25648,0,25021,23719,0,0,0,1929,6231,3504,00:00:08,2727,2082,00:10:11,1721,2267,13003,10122,2120,761,777,5951,317,1847,3787,87135.0,91397.0,7921.0,4826.0,0.13,10.18,0.003518131910616253,12747.0,0.4969978165938865,0.08838895820336869,0.5069791016843419,97.55536494073613,76.34763476347635,62,21,41.5,14.735942573918988,14.254543382897511,0.9804591807668205
2015-16,Apr-15,111AD8,EAST LONDON & CITY NHS 111,08V,NHS TOWER HAMLETS CCG,884100,11234,11234,0,306,10925,10925,0,10583,8490,482,0,37,0,2028,798,00:00:28,1243,628,00:13:05,778,918,5319,4229,791,299,217,1258,88,719,451,136636.5,42133.0,7921.0,4826.0,0.47,13.08,0.02723873954068008,12747.0,1.1667734553775744,0.08402745995423341,0.4868649885583524,96.86956521739131,50.5229283990346,104,136,120.0,12.706707386042304,11.970365343286957,0.8799909512498586
2015-16,Apr-15,111AD9,YORKSHIRE AND HUMBER NHS 111,02N,"NHS AIREDALE, WHARFEDALE AND CRAVEN CCG",5503900,132344,132344,0,2377,129188,129188,0,116964,110004,10006,25,391,8762,23703,5054,00:01:14,18645,4415,00:21:17,9969,7757,70557,46583,10743,13231,4488,17233,1052,6077,10104,951210.0,367438.0,7921.0,4826.0,1.23,21.28,0.017960768905277157,12747.0,0.09867015512276682,0.06004427655819426,0.5461575378518129,90.53782085023376,23.67927058192545,389,476,432.5,24.04549501262741,21.251112847253765,1.8112611057613692
2015-16,Apr-15,111AE1,MAINLAND SHIP NHS 111,10R,NHS PORTSMOUTH CCG,1854600,44129,43378,751,172,42664,41913,751,41259,35449,2519,0,72,4624,5851,2187,00:01:38,3664,3633,00:20:24,3794,2775,23001,15236,5687,2078,2865,3014,290,1805,919,136636.5,42133.0,7921.0,4826.0,1.63,20.4,0.003897663667882798,12747.0,0.2987764860303769,0.06504312769548097,0.5391196324770298,96.70682542658916,99.15393013100436,120,2,61.0,23.79434918580826,22.246845681009383,2.0457241453682733
2015-16,Apr-15,111AE2,BUCKINGHAMSHIRE NHS 111,10Y,NHS AYLESBURY VALE CCG,525000,12656,12656,0,40,12518,12518,0,12097,7518,523,0,11,4466,1429,657,00:01:17,772,763,00:34:06,648,689,4899,3567,1019,313,474,808,91,534,183,136636.5,42133.0,7921.0,4826.0,1.28,34.1,0.0031605562579013905,12747.0,1.0182936571337273,0.05504074133248123,0.3913564467167279,96.63684294615753,98.83419689119171,123,7,65.0,24.106666666666666,23.041904761904764,1.2342857142857142
2015-16,Apr-15,111AE3,BERKSHIRE NHS 111,11D,NHS WOKINGHAM CCG,904800,18754,18754,0,73,18511,18511,0,17864,15441,1114,0,34,1922,2794,1136,00:01:23,1658,1640,00:25:46,1333,1344,10630,7765,2253,612,605,1529,177,1003,349,136636.5,42133.0,7921.0,4826.0,1.38,25.77,0.0038925029327076892,12747.0,0.6886175787369672,0.07260547782399654,0.5742531467775916,96.50478094106208,98.91435464414958,138,4,71.0,20.727232537577365,19.743589743589745,1.4732537577365163
2015-16,Apr-15,111AE4,SOUTH EAST COAST NHS 111,10D,NHS SWALE CCG,4562700,97521,97521,0,128,97119,97119,0,95740,85586,4236,404,238,6655,24319,18903,00:00:55,5416,4279,00:11:22,9356,6086,58235,46565,7902,3768,276,11633,901,6115,4617,136636.5,42133.0,7921.0,4826.0,0.92,11.37,0.001312537812368618,12747.0,0.13125135143483768,0.06266538988251527,0.5996252020716852,98.58009246388451,79.00664697193501,15,13,14.0,21.373528831612862,20.983189777982336,2.0505402502903984
2015-16,Apr-15,111AE5,DORSET NHS 111,11J,NHS DORSET CCG,762400,22329,22316,13,1901,19215,19211,4,14070,17353,570,1220,60,12,3482,561,00:00:33,2921,644,00:20:19,1613,1022,11188,7394,1964,1830,412,3118,306,973,1839,146033.0,25896.0,7921.0,4826.0,0.55,20.32,0.08513592189529312,12747.0,0.6633879781420765,0.05318761384335155,0.5822534478272183,73.224043715847,22.04724409448819,488,497,492.5,29.287775445960126,18.45487932843652,2.115687303252886
2015-16,Apr-15,111AE6,BANES & WILTSHIRE NHS 111,99N,NHS WILTSHIRE CCG,664800,13116,13116,0,44,13072,13072,0,12801,11703,522,620,57,170,3089,1392,00:00:41,1697,690,00:13:11,1497,893,7850,5618,1437,795,88,1375,127,711,537,136636.5,42133.0,7921.0,4826.0,0.68,13.18,0.003354681305275999,12747.0,0.9751376988984088,0.06831395348837209,0.6005201958384333,97.92686658506732,40.65998821449617,31,258,144.5,19.729241877256317,19.255415162454874,2.2518050541516246
2015-16,Apr-15,111AE7,"BRISTOL, NORTH SOMERSET & SOUTH GLOUCESTERSHIRE NHS 111",11H,NHS BRISTOL CCG,929500,28140,28140,0,78,28062,28062,0,27441,23031,1064,1057,107,2803,5923,2686,00:00:42,3237,1252,00:13:24,2752,1920,15388,10837,2724,1827,196,2775,235,1468,1072,136636.5,42133.0,7921.0,4826.0,0.7,13.4,0.002771855010660981,12747.0,0.4542441736155655,0.06841992730382725,0.548357209037132,97.78704297626683,38.67778807537844,42,288,165.0,30.274341043571813,29.522323830016138,2.9607315761161916
2015-16,Apr-15,111AE8,GLOUCESTERSHIRE & SWINDON NHS 111,11M,NHS GLOUCESTERSHIRE CCG,838900,15983,15983,0,59,15924,15924,0,15539,12906,659,961,53,1345,3381,1506,00:00:49,1875,730,00:13:12,1688,1016,8535,6310,1646,579,118,1549,135,740,674,136636.5,42133.0,7921.0,4826.0,0.82,13.2,0.003691422136019521,12747.0,0.8004898266767144,0.06380306455664406,0.535983421250942,97.58226576237126,38.93333333333333,59,284,171.5,19.0523304327095,18.52306591965669,2.012158779353916
2015-16,Apr-15,111AE9,SOMERSET NHS 111,11X,NHS SOMERSET CCG,543600,13788,13782,6,1847,11078,11076,2,7406,9678,806,570,8,16,1915,310,00:00:30,1604,380,00:20:17,997,550,6006,4457,1194,355,351,1774,162,551,1061,85973.0,14242.0,7921.0,4826.0,0.5,20.28,0.13395706411372207,12747.0,1.1506589637118614,0.04964795089366312,0.5421556237588012,66.853222603358,23.690773067331673,506,475,490.5,25.364238410596027,13.623988226637234,1.8340691685062545
2015-16,Apr-15,111AF1,CORNWALL NHS 111,11N,NHS KERNOW CCG,553200,15822,14775,1047,2024,12644,11703,941,8423,11721,351,541,14,17,2195,377,00:00:46,1818,495,00:18:13,1211,484,6844,4739,1752,353,1392,1790,181,504,1105,95137.0,16324.0,7921.0,4826.0,0.77,18.22,0.1279231449879914,12747.0,1.0081461562796583,0.03827902562480228,0.5412844036697247,66.61657703258463,27.22772277227723,507,439,473.0,28.600867678958785,15.22595806218366,2.1890817064352857
2015-16,Apr-15,111AF2,DEVON NHS 111,99P,"NHS NORTHERN, EASTERN AND WESTERN DEVON CCG",1158100,33723,33546,177,4202,27490,27450,40,18168,25385,876,1096,101,32,5705,768,00:00:38,4937,2579,00:15:22,2588,1429,17132,11446,4915,771,439,3797,499,974,2324,214633.0,42428.0,7921.0,4826.0,0.63,15.37,0.12460338641283397,12747.0,0.4636958894143325,0.051982539105129136,0.6232084394325209,66.08948708621317,52.238201336844234,508,116,312.0,29.119247042569725,15.687764441758054,2.23469475865642
2015-16,Apr-15,111AF3,BEDFORDSHIRE NHS 111,06F,NHS BEDFORDSHIRE CCG,434000,5773,5773,0,6,5720,5720,0,5670,2953,186,0,7,2574,551,238,00:01:19,313,310,00:32:44,262,315,1956,1284,330,342,60,360,61,226,73,136636.5,42133.0,7921.0,4826.0,1.32,32.73,0.0010393209769617184,12747.0,2.2284965034965034,0.05506993006993007,0.34195804195804197,99.12587412587412,99.04153354632588,6,3,4.5,13.30184331797235,13.064516129032258,0.6036866359447004
2015-16,Apr-15,111AF4,STAFFORDSHIRE NHS 111,05V,NHS STAFFORD AND SURROUNDS CCG,1112600,25152,25107,45,346,23802,23773,29,22196,19356,645,21,21,3759,7877,6748,00:00:01,1129,387,00:13:05,1741,1492,13053,9338,2713,1002,950,2120,43,1413,664,233806.0,45520.0,7921.0,4826.0,0.02,13.08,0.013756361323155216,12747.0,0.535543231661205,0.06268380808335434,0.5483992941769599,93.2526678430384,34.27812223206377,331,340,335.5,22.60650728024447,19.949667445622865,1.5648031637605608
2015-16,Apr-15,111AF5,NORTH WEST NHS 111,00R,NHS BLACKPOOL CCG,6726400,73693,73693,0,573,72419,72419,0,68191,64974,2971,0,714,3760,16973,8304,00:00:10,9108,4558,00:12:15,7447,6655,38765,26615,6453,5697,730,11377,1417,4527,5433,296123.0,203676.0,7921.0,4826.0,0.17,12.25,0.007775501065230076,12747.0,0.17601734351482345,0.09189577320868833,0.5352877007415181,94.16175313108438,50.043917435221786,299,140,219.5,10.955786156041865,10.137815176022835,1.1071301141769743
2015-16,Apr-15,111AF6,BLACKPOOL NHS 111,00R,NHS BLACKPOOL CCG,467200,15005,15005,0,50,14723,14723,0,14379,13432,786,0,13,492,3077,2330,00:00:13,747,505,00:07:11,952,1103,8901,7298,1250,353,143,2333,101,806,1426,48240.0,32407.0,7921.0,4826.0,0.22,7.18,0.003332222592469177,12747.0,0.8657882225089996,0.07491679684846839,0.6045642871697344,97.66351966311214,67.60374832663989,52,51,51.5,32.11686643835616,30.776969178082194,2.037671232876712
2015-16,May-15,111AA1,NORTH EAST ENGLAND NHS 111,00N,NHS SOUTH TYNESIDE CCG,2623300,67935,64582,3353,533,58821,56936,1885,56576,54783,1971,396,1498,2053,18357,11417,00:00:59,6940,3321,00:11:46,8273,4921,32267,20683,7909,3675,3453,5869,959,2766,2144,568280.0,149468.0,7921.0,4826.0,0.98,11.77,0.007845734893648341,12747.0,0.21670831845769367,0.08366059740568844,0.5485625881912922,96.183335883443,47.85302593659942,164,163,163.5,25.896771242328363,21.566728929211298,3.153661418823619
2015-16,May-15,111AA2,LINCOLNSHIRE NHS 111,03T,NHS LINCOLNSHIRE EAST CCG,733200,16563,16563,0,62,16501,16501,0,16027,14135,541,455,56,1314,3323,1503,00:00:40,1820,585,00:13:02,1758,1305,9197,6720,1858,619,377,1498,149,806,543,136636.5,42133.0,7921.0,4826.0,0.67,13.03,0.003743283221638592,12747.0,0.772498636446276,0.07908611599297012,0.5573601599903036,97.12744682140476,32.142857142857146,83,367,225.0,22.590016366612108,21.85897435897436,2.3977086743044187
